date,time,brightness,temperature,humidity
2021-11-15,22:38:24,901.0,15.924544623274617,69.348
2021-11-15,22:38:24,892.0,16.402280961972856,69.348
2021-11-15,22:38:24,883.0,16.894349390832044,69.348
2021-11-15,22:38:24,874.0,17.401179872557005,69.348
2021-11-15,22:38:24,865.0,17.923215268733717,69.348
2021-11-15,22:38:24,856.0,18.46091172679573,69.348
2021-11-15,22:38:24,847.0,19.0147390785996,69.348
2021-11-15,22:38:24,928.0,19.58518125095759,69.348
2021-11-15,22:38:24,919.0,20.172736688486317,69.348
2021-11-15,22:38:25,910.0,20.172736688486317,69.348
2021-11-15,22:38:25,901.0,20.172736688486317,69.348
2021-11-15,22:38:25,892.0,20.172736688486317,69.348
2021-11-15,22:38:25,883.0,20.172736688486317,69.348
2021-11-15,22:38:25,874.0,20.172736688486317,69.348
2021-11-15,22:38:25,865.0,20.172736688486317,69.348
2021-11-15,22:38:25,856.0,20.172736688486317,69.348
2021-11-15,22:38:25,847.0,20.172736688486317,69.348
2021-11-15,22:38:25,928.0,19.58518125095759,69.348
2021-11-15,22:38:26,919.0,20.172736688486317,69.348
2021-11-15,22:38:26,910.0,20.172736688486317,69.348
2021-11-15,22:38:26,901.0,20.172736688486317,69.348
2021-11-15,22:38:26,892.0,20.172736688486317,69.348
2021-11-15,22:38:26,883.0,20.172736688486317,69.348
2021-11-15,22:38:26,874.0,20.172736688486317,69.348
2021-11-15,22:38:26,865.0,20.172736688486317,69.348
2021-11-15,22:38:26,856.0,20.172736688486317,69.348
2021-11-15,22:38:26,847.0,20.172736688486317,69.348
